taskid,Processing Time,Release Time,Due Date,Benefit,Vehicle ID,Access Point,Access Point Communication Time,Broker Communication Time,Base Station 1 Communication Time,Base Station 2 Communication Time,Base Station 3 Communication Time,Base Station 4 Communication Time
54,10,10,28,7,1,1,0.5,0.1,0.1,0.2,0.1,0.1
55,6,10,20,17,4,2,0.0,0.1,0.0,0.5,0.1,0.1
56,8,10,18,15,2,1,0.1,0.1,0.1,0.1,0.3,0.0
57,5,10,18,7,4,2,0.5,0.1,0.0,0.4,0.1,0.0
58,7,10,18,10,4,2,0.4,0.1,0.1,0.1,0.1,0.2
59,2,10,19,15,4,2,0.3,0.1,0.0,0.3,0.0,0.0
60,1,10,17,7,2,1,0.0,0.1,0.0,0.1,0.0,0.2
61,10,10,25,3,3,1,0.1,0.1,0.1,0.5,0.2,0.4
62,1,10,19,12,4,2,0.4,0.1,0.0,0.4,0.0,0.3
63,9,10,26,16,4,2,0.0,0.5,0.1,0.3,0.1,0.2
64,5,10,15,12,4,2,0.0,0.1,0.2,0.1,0.3,0.1
65,2,10,21,13,3,1,0.0,0.1,0.0,0.1,0.3,0.1
66,5,10,21,9,3,1,0.0,0.1,0.0,0.1,0.2,0.2
67,1,10,12,18,1,1,0.0,0.1,0.4,0.1,0.0,0.4
68,7,11,27,18,1,1,0.0,0.1,0.2,0.1,0.1,0.0
69,7,11,25,6,1,1,0.2,0.1,0.1,0.1,0.1,0.2
70,3,11,16,4,3,1,0.4,0.4,0.0,0.1,0.2,0.0
71,3,11,22,17,1,1,0.4,0.3,0.2,0.1,0.0,0.0
72,7,11,26,17,2,1,0.1,0.1,0.1,0.1,0.1,0.0
73,8,11,26,11,3,1,0.5,0.4,0.2,0.1,0.3,0.0
74,8,11,22,15,1,1,0.0,0.2,0.1,0.2,0.1,0.0
75,7,13,27,5,2,1,0.1,0.1,0.1,0.1,0.5,0.2
76,4,13,23,17,3,1,0.5,0.1,0.1,0.1,0.1,0.3
77,1,13,23,3,3,1,0.0,0.1,0.0,0.1,0.0,0.0
78,1,13,23,13,4,2,0.0,0.5,0.0,0.1,0.0,0.0
79,5,13,26,6,4,2,0.0,0.1,0.0,0.1,0.1,0.0
80,8,14,25,6,1,1,0.4,0.1,0.4,0.1,0.1,0.4
81,4,14,20,20,3,1,0.0,0.1,0.4,0.1,0.1,0.0
82,8,15,29,11,1,1,0.2,0.1,0.2,0.1,0.3,0.2
83,2,15,20,5,1,1,0.0,0.1,0.3,0.2,0.0,0.0
84,6,15,24,14,2,1,0.0,0.1,0.0,0.1,0.1,0.0
85,9,15,33,18,1,1,0.0,0.4,0.1,0.1,0.1,0.3
86,8,16,24,15,2,1,0.1,0.1,0.4,0.2,0.1,0.4
87,4,16,29,3,3,1,0.3,0.1,0.0,0.1,0.4,0.2
88,1,16,22,15,4,2,0.0,0.1,0.0,0.1,0.4,0.3
89,10,16,31,6,2,1,0.1,0.1,0.1,0.1,0.1,0.1
90,7,16,23,9,2,1,0.1,0.2,0.2,0.2,0.2,0.5
91,7,16,31,2,4,2,0.0,0.1,0.3,0.1,0.4,0.0
92,5,16,22,8,1,1,0.0,0.1,0.0,0.1,0.2,0.0
93,5,16,28,5,3,1,0.0,0.3,0.0,0.1,0.5,0.0
94,10,16,34,11,2,1,0.3,0.1,0.1,0.3,0.1,0.1
95,3,17,21,13,1,1,0.0,0.1,0.0,0.1,0.0,0.0
96,2,17,24,16,2,1,0.5,0.1,0.0,0.4,0.1,0.0
97,4,17,24,17,2,1,0.4,0.2,0.3,0.2,0.1,0.1
98,3,17,24,6,1,1,0.0,0.1,0.0,0.4,0.0,0.0
99,6,17,24,20,3,1,0.0,0.1,0.0,0.5,0.1,0.0
100,2,17,25,19,3,1,0.4,0.1,0.0,0.1,0.1,0.4
101,10,17,28,6,1,1,0.0,0.1,0.1,0.1,0.1,0.1
102,1,18,24,6,2,1,0.0,0.1,0.0,0.2,0.4,0.2
103,5,18,30,6,3,1,0.0,0.1,0.0,0.2,0.2,0.2
104,6,18,29,11,4,2,0.0,0.1,0.1,0.1,0.2,0.0
105,2,19,28,19,1,1,0.4,0.1,0.4,0.1,0.0,0.0
106,8,19,28,15,3,1,0.0,0.4,0.1,0.1,0.1,0.4
107,4,19,25,15,2,1,0.0,0.1,0.5,0.4,0.3,0.0
108,5,19,28,15,3,1,0.0,0.1,0.0,0.1,0.2,0.0
109,7,19,29,4,2,1,0.3,0.4,0.1,0.1,0.1,0.0
110,1,19,25,12,3,1,0.0,0.3,0.0,0.1,0.3,0.0
111,7,19,34,9,2,1,0.3,0.1,0.1,0.3,0.1,0.0
112,7,19,35,2,4,2,0.0,0.1,0.2,0.1,0.1,0.4
113,10,20,35,20,2,1,0.1,0.3,0.1,0.1,0.1,0.2
114,5,20,31,6,4,2,0.0,0.1,0.0,0.1,0.1,0.0
115,8,20,28,18,1,1,0.0,0.1,0.1,0.1,0.1,0.0
116,7,20,28,5,4,2,0.0,0.1,0.2,0.1,0.1,0.0
117,9,21,35,16,3,1,0.0,0.3,0.3,0.1,0.1,0.4
118,8,22,33,13,4,2,0.2,0.2,0.3,0.1,0.1,0.0
119,2,22,27,18,4,2,0.3,0.1,0.2,0.1,0.0,0.0
120,5,22,31,12,2,1,0.2,0.3,0.4,0.4,0.1,0.1
121,6,22,28,13,4,2,0.0,0.1,0.4,0.1,0.2,0.0
122,6,22,36,11,3,1,0.4,0.4,0.3,0.2,0.4,0.0
123,3,22,34,18,4,2,0.5,0.1,0.0,0.1,0.0,0.0
124,7,23,32,6,4,2,0.0,0.1,0.1,0.4,0.1,0.0
125,9,23,32,20,4,2,0.0,0.4,0.3,0.3,0.2,0.0
126,6,23,36,5,2,1,0.0,0.1,0.0,0.1,0.4,0.0
127,5,24,38,19,4,2,0.0,0.1,0.0,0.4,0.4,0.0
128,4,24,32,7,1,1,0.0,0.5,0.2,0.1,0.1,0.3
129,6,24,34,20,3,1,0.0,0.1,0.3,0.1,0.4,0.0
130,10,25,40,8,4,2,0.1,0.1,0.1,0.1,0.1,0.1
131,9,25,40,19,3,1,0.0,0.1,0.1,0.4,0.1,0.0
132,3,25,35,10,3,1,0.0,0.1,0.0,0.1,0.0,0.0
133,7,25,32,4,2,1,0.3,0.1,0.1,0.2,0.1,0.0
134,1,25,33,18,3,1,0.0,0.4,0.0,0.4,0.3,0.3
135,7,25,38,14,1,1,0.4,0.3,0.1,0.1,0.2,0.0
136,7,25,38,16,3,1,0.3,0.1,0.1,0.3,0.1,0.1
137,5,26,39,14,2,1,0.0,0.4,0.3,0.1,0.1,0.0
138,5,26,31,5,1,1,0.3,0.5,0.0,0.1,0.1,0.0
139,3,26,34,8,2,1,0.0,0.1,0.0,0.4,0.2,0.0
140,9,26,42,12,3,1,0.0,0.1,0.2,0.1,0.1,0.2
141,1,26,34,10,4,2,0.0,0.4,0.0,0.1,0.3,0.4
142,10,27,45,11,3,1,0.4,0.1,0.1,0.2,0.1,0.3
143,7,27,42,15,3,1,0.1,0.4,0.2,0.1,0.1,0.0
144,4,27,37,16,2,1,0.0,0.1,0.1,0.1,0.1,0.0
145,10,27,44,12,1,1,0.4,0.1,0.1,0.3,0.3,0.3
146,3,27,39,13,3,1,0.0,0.1,0.0,0.1,0.5,0.0
147,3,28,32,5,3,1,0.0,0.1,0.5,0.1,0.1,0.0
148,1,28,35,14,1,1,0.0,0.2,0.4,0.1,0.0,0.0
149,5,29,40,7,2,1,0.0,0.1,0.0,0.1,0.1,0.0
150,1,29,30,20,1,1,0.2,0.1,0.0,0.1,0.0,0.3
151,3,29,33,14,2,1,0.0,0.1,0.0,0.1,0.0,0.0
152,2,29,36,8,1,1,0.0,0.4,0.0,0.2,0.0,0.5
153,5,29,40,19,1,1,0.3,0.5,0.4,0.1,0.1,0.4
154,3,30,35,3,1,1,0.0,0.1,0.3,0.1,0.0,0.0
155,6,30,36,1,1,1,0.3,0.1,0.0,0.5,0.1,0.0
156,3,30,34,20,3,1,0.3,0.1,0.5,0.1,0.0,0.0
157,6,30,43,2,3,1,0.0,0.4,0.0,0.2,0.1,0.2
158,1,31,34,12,2,1,0.0,0.1,0.0,0.1,0.1,0.0
159,1,31,37,13,2,1,0.0,0.1,0.0,0.1,0.4,0.0
160,2,31,37,15,4,2,0.0,0.1,0.1,0.1,0.0,0.1
161,5,31,42,14,3,1,0.2,0.5,0.2,0.1,0.1,0.0
162,9,32,46,14,1,1,0.2,0.1,0.2,0.1,0.1,0.3
163,1,32,41,13,2,1,0.4,0.1,0.3,0.3,0.2,0.1
164,3,32,37,1,1,1,0.0,0.2,0.0,0.4,0.0,0.0
165,4,33,38,7,3,1,0.4,0.3,0.4,0.1,0.5,0.1
166,9,33,50,11,1,1,0.1,0.2,0.3,0.1,0.4,0.0
167,4,33,39,4,3,1,0.0,0.1,0.0,0.1,0.2,0.0
168,6,33,44,8,4,2,0.0,0.4,0.4,0.4,0.1,0.5
169,5,33,47,4,4,2,0.2,0.1,0.3,0.5,0.5,0.0
170,9,33,51,8,1,1,0.4,0.1,0.3,0.4,0.1,0.4
171,6,34,40,19,2,1,0.0,0.1,0.0,0.4,0.4,0.2
172,9,34,44,14,2,1,0.1,0.3,0.1,0.1,0.1,0.0
173,6,35,47,19,1,1,0.2,0.1,0.0,0.1,0.1,0.3
174,5,35,44,20,2,1,0.4,0.4,0.0,0.1,0.1,0.4
175,6,35,41,8,4,2,0.0,0.1,0.0,0.4,0.1,0.1
176,7,35,49,19,2,1,0.1,0.1,0.1,0.1,0.1,0.5
177,9,35,48,9,2,1,0.2,0.2,0.5,0.2,0.4,0.0
178,8,35,43,19,1,1,0.4,0.1,0.1,0.1,0.1,0.0
179,9,35,45,5,1,1,0.1,0.1,0.5,0.1,0.1,0.1
180,2,36,47,11,1,1,0.3,0.4,0.2,0.1,0.0,0.5
181,1,36,42,13,4,2,0.0,0.1,0.0,0.1,0.0,0.0
182,3,36,41,1,3,1,0.0,0.2,0.0,0.1,0.0,0.2
183,5,36,47,16,2,1,0.4,0.1,0.0,0.1,0.2,0.0
184,10,36,51,15,4,2,0.5,0.3,0.4,0.1,0.1,0.1
185,3,36,41,20,2,1,0.0,0.1,0.0,0.1,0.0,0.0
186,4,36,42,7,1,1,0.0,0.1,0.0,0.1,0.1,0.4
187,5,36,45,17,1,1,0.0,0.1,0.0,0.2,0.3,0.4
188,2,37,42,16,1,1,0.4,0.1,0.0,0.2,0.2,0.4
189,8,37,51,16,2,1,0.2,0.1,0.1,0.1,0.1,0.0
190,6,37,49,14,3,1,0.0,0.4,0.0,0.1,0.1,0.5
191,6,37,50,6,1,1,0.0,0.1,0.5,0.2,0.1,0.3
192,1,38,41,16,3,1,0.4,0.1,0.1,0.3,0.4,0.5
193,2,38,44,3,3,1,0.3,0.4,0.0,0.1,0.0,0.0
194,2,38,45,11,4,2,0.0,0.4,0.2,0.1,0.0,0.0
195,5,38,48,16,2,1,0.0,0.5,0.0,0.1,0.4,0.0
196,5,38,51,5,3,1,0.0,0.4,0.1,0.1,0.1,0.4
197,3,38,44,17,2,1,0.0,0.3,0.0,0.3,0.3,0.0
198,9,39,55,8,3,1,0.0,0.1,0.1,0.1,0.1,0.0
199,9,39,48,20,3,1,0.4,0.1,0.1,0.1,0.1,0.0
200,8,39,47,15,4,2,0.3,0.1,0.1,0.3,0.1,0.4
