taskid,Processing Time,Release Time,Due Date,Benefit,Vehicle ID,Access Point,Access Point Communication Time,Broker Communication Time,Base Station 1 Communication Time,Base Station 2 Communication Time,Base Station 3 Communication Time,Base Station 4 Communication Time
25,8,6,16,11,4,2,0.3,0.1,0.4,0.5,0.3,0.0
26,9,7,16,12,1,1,0.0,0.1,0.4,0.4,0.3,0.2
27,5,8,19,12,4,2,0.2,0.1,0.0,0.4,0.1,0.0
28,7,8,15,11,1,1,0.0,0.1,0.4,0.4,0.1,0.2
29,8,8,22,14,2,1,0.1,0.3,0.2,0.4,0.1,0.0
30,8,9,25,12,1,1,0.0,0.1,0.1,0.1,0.1,0.0
31,1,9,18,11,4,2,0.2,0.5,0.0,0.4,0.0,0.0
32,4,10,14,8,1,1,0.0,0.1,0.4,0.1,0.1,0.0
33,3,12,15,6,1,1,0.3,0.4,0.0,0.1,0.0,0.2
34,4,12,16,2,3,1,0.0,0.1,0.2,0.2,0.1,0.0
35,10,13,27,16,4,2,0.4,0.2,0.2,0.1,0.1,0.5
36,9,13,26,10,4,2,0.0,0.4,0.1,0.3,0.4,0.3
37,3,13,21,1,1,1,0.0,0.1,0.1,0.1,0.4,0.0
38,5,13,18,1,2,1,0.4,0.1,0.0,0.1,0.1,0.5
39,10,14,31,5,1,1,0.0,0.1,0.1,0.1,0.1,0.1
40,7,14,21,11,2,1,0.1,0.1,0.3,0.1,0.1,0.0
41,6,14,27,1,2,1,0.0,0.2,0.2,0.1,0.1,0.4
42,8,15,32,2,4,2,0.0,0.4,0.1,0.1,0.4,0.0
43,8,15,29,20,1,1,0.1,0.1,0.3,0.1,0.1,0.0
44,9,16,33,9,4,2,0.0,0.1,0.1,0.1,0.5,0.5
45,6,16,27,11,2,1,0.0,0.2,0.0,0.1,0.2,0.2
46,1,16,25,14,4,2,0.0,0.1,0.5,0.1,0.5,0.3
47,10,16,28,20,4,2,0.4,0.1,0.4,0.3,0.1,0.5
48,1,17,25,7,3,1,0.0,0.1,0.0,0.1,0.2,0.4
49,2,17,23,16,4,2,0.0,0.3,0.3,0.1,0.4,0.2
50,6,18,25,8,3,1,0.3,0.1,0.1,0.1,0.1,0.0
51,2,18,27,14,1,1,0.0,0.1,0.0,0.1,0.2,0.0
52,8,18,26,1,4,2,0.0,0.1,0.2,0.1,0.1,0.2
53,10,18,30,15,4,2,0.0,0.1,0.1,0.1,0.1,0.4
54,2,19,25,6,1,1,0.4,0.1,0.3,0.1,0.0,0.0
55,3,19,25,14,3,1,0.0,0.2,0.0,0.1,0.1,0.0
56,9,19,34,6,4,2,0.2,0.1,0.1,0.4,0.2,0.3
57,5,20,34,7,1,1,0.4,0.1,0.0,0.1,0.1,0.0
58,2,20,29,2,2,1,0.0,0.3,0.0,0.1,0.0,0.0
59,7,21,32,1,1,1,0.3,0.1,0.3,0.1,0.1,0.5
60,1,22,26,17,2,1,0.2,0.3,0.5,0.1,0.2,0.0
61,7,22,33,3,1,1,0.0,0.1,0.1,0.1,0.1,0.0
62,2,23,26,10,3,1,0.0,0.1,0.4,0.1,0.0,0.4
63,9,23,32,15,4,2,0.0,0.4,0.1,0.3,0.1,0.1
64,2,23,25,18,2,1,0.0,0.1,0.0,0.2,0.0,0.0
65,6,24,31,7,3,1,0.5,0.3,0.0,0.1,0.1,0.0
66,5,24,29,15,3,1,0.0,0.4,0.4,0.1,0.2,0.0
67,6,24,37,14,3,1,0.3,0.1,0.0,0.5,0.1,0.0
68,7,24,35,16,3,1,0.0,0.2,0.1,0.2,0.1,0.0
69,8,25,35,15,2,1,0.5,0.1,0.1,0.2,0.5,0.2
70,7,25,36,2,3,1,0.0,0.2,0.1,0.1,0.4,0.2
71,10,25,41,8,1,1,0.0,0.1,0.5,0.4,0.3,0.1
72,6,25,37,15,3,1,0.4,0.1,0.0,0.1,0.1,0.0
73,5,25,37,5,4,2,0.0,0.1,0.0,0.3,0.4,0.0
74,10,26,44,15,2,1,0.2,0.4,0.1,0.1,0.1,0.1
75,4,26,38,9,1,1,0.0,0.1,0.0,0.1,0.3,0.0
76,8,26,43,5,1,1,0.4,0.1,0.1,0.1,0.3,0.0
77,6,27,34,6,3,1,0.0,0.2,0.0,0.1,0.1,0.0
78,2,27,36,18,4,2,0.0,0.4,0.2,0.1,0.5,0.3
79,2,27,31,6,2,1,0.3,0.2,0.0,0.1,0.2,0.0
80,2,27,35,14,4,2,0.0,0.1,0.0,0.1,0.0,0.0
81,3,27,39,13,1,1,0.0,0.1,0.3,0.2,0.0,0.0
82,9,27,38,11,2,1,0.1,0.1,0.4,0.5,0.1,0.0
83,8,27,41,3,4,2,0.0,0.4,0.2,0.1,0.1,0.0
84,6,28,42,3,1,1,0.0,0.1,0.0,0.1,0.1,0.4
85,8,28,36,3,4,2,0.3,0.1,0.5,0.1,0.1,0.0
86,5,28,36,1,4,2,0.0,0.2,0.0,0.4,0.1,0.4
87,7,28,37,3,2,1,0.1,0.3,0.1,0.5,0.1,0.0
88,2,28,36,12,1,1,0.0,0.1,0.0,0.1,0.0,0.3
89,1,28,29,10,3,1,0.3,0.2,0.2,0.3,0.0,0.2
90,1,29,39,6,2,1,0.3,0.3,0.0,0.1,0.0,0.0
91,8,29,38,17,4,2,0.0,0.1,0.1,0.1,0.1,0.0
92,10,29,45,13,4,2,0.0,0.1,0.1,0.4,0.3,0.1
93,9,30,40,8,2,1,0.1,0.1,0.1,0.3,0.1,0.2
94,1,30,38,17,3,1,0.0,0.4,0.4,0.1,0.3,0.0
95,2,30,34,19,4,2,0.1,0.4,0.0,0.1,0.0,0.1
96,5,31,45,11,3,1,0.0,0.1,0.0,0.1,0.2,0.0
97,6,31,43,17,4,2,0.0,0.2,0.0,0.4,0.1,0.0
98,9,32,42,3,4,2,0.2,0.3,0.1,0.1,0.1,0.0
99,9,32,45,13,2,1,0.1,0.1,0.1,0.1,0.4,0.0
100,6,33,46,4,4,2,0.0,0.1,0.0,0.4,0.3,0.4
101,5,33,41,5,3,1,0.0,0.2,0.0,0.1,0.1,0.0
102,5,33,47,6,3,1,0.2,0.2,0.5,0.1,0.2,0.2
103,10,33,45,6,3,1,0.3,0.1,0.1,0.1,0.1,0.1
104,6,34,40,16,3,1,0.4,0.1,0.2,0.3,0.4,0.0
105,1,35,39,13,1,1,0.0,0.2,0.0,0.1,0.1,0.0
106,10,35,52,9,1,1,0.3,0.4,0.1,0.1,0.1,0.1
107,6,35,48,9,2,1,0.0,0.4,0.0,0.3,0.1,0.2
108,10,35,53,15,2,1,0.5,0.1,0.1,0.1,0.1,0.3
109,5,35,41,6,4,2,0.0,0.2,0.5,0.4,0.1,0.0
110,8,35,44,3,3,1,0.3,0.1,0.1,0.1,0.1,0.0
111,2,35,37,9,2,1,0.0,0.1,0.2,0.2,0.3,0.0
112,9,36,50,17,3,1,0.3,0.1,0.1,0.2,0.1,0.0
113,4,36,40,20,2,1,0.0,0.4,0.2,0.4,0.1,0.5
114,10,37,51,19,2,1,0.1,0.5,0.4,0.1,0.1,0.4
115,2,37,48,17,1,1,0.2,0.1,0.0,0.1,0.0,0.2
116,9,38,54,4,3,1,0.0,0.1,0.1,0.3,0.1,0.4
117,8,38,49,5,1,1,0.3,0.3,0.3,0.1,0.1,0.0
118,5,39,44,14,2,1,0.0,0.1,0.1,0.2,0.3,0.0
119,10,39,56,14,3,1,0.1,0.1,0.1,0.1,0.1,0.1
120,8,39,53,14,1,1,0.0,0.4,0.1,0.1,0.2,0.0
121,8,40,57,7,2,1,0.1,0.5,0.1,0.1,0.1,0.5
122,4,40,52,7,1,1,0.4,0.1,0.0,0.4,0.1,0.0
123,7,40,49,6,4,2,0.0,0.1,0.4,0.2,0.1,0.0
124,5,41,47,14,2,1,0.4,0.1,0.4,0.2,0.1,0.0
125,2,42,53,5,1,1,0.0,0.1,0.0,0.3,0.3,0.0
126,10,42,53,8,3,1,0.2,0.1,0.4,0.2,0.2,0.1
127,9,42,57,1,2,1,0.1,0.4,0.4,0.1,0.1,0.0
128,8,42,58,20,2,1,0.3,0.1,0.4,0.2,0.1,0.0
129,7,42,51,12,3,1,0.4,0.3,0.4,0.1,0.4,0.2
130,8,43,55,10,2,1,0.1,0.1,0.4,0.4,0.1,0.5
131,3,43,50,17,1,1,0.0,0.1,0.0,0.3,0.0,0.0
132,2,44,53,20,3,1,0.4,0.1,0.0,0.1,0.0,0.2
133,4,44,56,6,1,1,0.0,0.1,0.0,0.1,0.1,0.0
134,10,44,57,8,2,1,0.1,0.1,0.1,0.1,0.3,0.1
135,5,44,50,6,4,2,0.4,0.1,0.0,0.1,0.4,0.0
136,8,44,53,19,2,1,0.1,0.3,0.3,0.1,0.4,0.0
137,8,44,56,4,3,1,0.0,0.1,0.1,0.3,0.1,0.4
138,6,45,59,20,2,1,0.1,0.4,0.0,0.3,0.1,0.0
139,4,45,49,8,4,2,0.2,0.2,0.0,0.4,0.5,0.5
140,8,45,53,1,2,1,0.1,0.1,0.3,0.1,0.4,0.0
141,10,45,64,11,1,1,0.0,0.1,0.1,0.1,0.1,0.3
142,2,45,51,20,1,1,0.0,0.1,0.0,0.2,0.0,0.0
143,5,46,58,6,3,1,0.4,0.1,0.3,0.1,0.1,0.4
144,5,47,56,18,3,1,0.0,0.2,0.1,0.2,0.1,0.2
145,9,47,57,12,4,2,0.5,0.5,0.1,0.1,0.1,0.0
146,10,47,58,15,2,1,0.4,0.1,0.3,0.1,0.4,0.3
147,5,47,57,12,2,1,0.0,0.1,0.5,0.4,0.2,0.0
148,6,48,63,14,2,1,0.0,0.1,0.0,0.1,0.1,0.0
149,6,48,58,9,3,1,0.0,0.1,0.4,0.1,0.1,0.2
150,5,48,54,14,1,1,0.0,0.1,0.0,0.1,0.1,0.0
151,2,49,53,4,2,1,0.2,0.1,0.0,0.1,0.1,0.2
152,8,49,58,8,4,2,0.1,0.1,0.1,0.3,0.1,0.1
153,6,49,57,10,2,1,0.5,0.1,0.0,0.5,0.1,0.0
154,6,49,63,17,2,1,0.1,0.1,0.3,0.4,0.1,0.0
155,4,50,55,5,2,1,0.0,0.1,0.0,0.5,0.1,0.0
156,9,51,67,20,4,2,0.0,0.5,0.2,0.1,0.5,0.0
157,4,52,64,12,4,2,0.0,0.1,0.0,0.1,0.1,0.0
158,1,52,57,1,3,1,0.0,0.1,0.0,0.1,0.0,0.0
159,10,53,67,3,2,1,0.4,0.1,0.1,0.3,0.1,0.2
160,9,54,64,12,2,1,0.1,0.1,0.1,0.5,0.1,0.2
161,5,54,59,12,1,1,0.2,0.2,0.2,0.1,0.1,0.0
162,4,54,60,11,3,1,0.0,0.1,0.0,0.1,0.2,0.0
163,8,54,70,12,4,2,0.0,0.3,0.2,0.1,0.1,0.0
164,5,55,63,10,1,1,0.4,0.1,0.0,0.2,0.4,0.2
165,3,55,61,16,2,1,0.4,0.3,0.4,0.4,0.0,0.3
166,4,55,66,10,3,1,0.0,0.1,0.2,0.4,0.1,0.0
167,2,55,58,1,2,1,0.0,0.1,0.0,0.1,0.3,0.3
168,9,56,69,11,1,1,0.4,0.2,0.1,0.1,0.4,0.0
169,6,56,69,18,4,2,0.3,0.1,0.3,0.1,0.1,0.0
170,10,57,75,19,1,1,0.0,0.1,0.1,0.5,0.2,0.1
171,6,58,64,8,4,2,0.0,0.4,0.0,0.1,0.1,0.0
172,5,58,72,6,4,2,0.0,0.1,0.0,0.2,0.1,0.3
173,5,59,68,10,4,2,0.5,0.1,0.1,0.1,0.1,0.4
174,4,60,72,11,2,1,0.3,0.1,0.1,0.3,0.4,0.1
175,3,60,70,9,1,1,0.4,0.1,0.0,0.1,0.4,0.0
176,8,60,71,4,3,1,0.0,0.1,0.2,0.1,0.1,0.3
177,1,61,66,1,1,1,0.3,0.1,0.3,0.2,0.0,0.5
178,4,62,66,4,4,2,0.0,0.1,0.0,0.1,0.2,0.2
179,7,62,76,10,1,1,0.0,0.1,0.1,0.1,0.1,0.0
180,6,62,77,15,4,2,0.0,0.3,0.0,0.1,0.1,0.2
181,2,62,66,8,1,1,0.0,0.5,0.0,0.3,0.0,0.2
182,2,62,69,18,1,1,0.0,0.1,0.0,0.5,0.1,0.4
183,5,62,75,12,4,2,0.3,0.1,0.0,0.1,0.1,0.0
184,7,63,78,19,4,2,0.4,0.1,0.1,0.2,0.1,0.0
185,1,63,65,2,1,1,0.0,0.1,0.2,0.1,0.0,0.0
186,6,63,71,12,4,2,0.0,0.3,0.0,0.1,0.1,0.4
187,9,64,77,3,4,2,0.0,0.1,0.1,0.1,0.3,0.3
188,4,64,72,3,3,1,0.0,0.1,0.0,0.2,0.3,0.2
189,2,65,68,18,2,1,0.5,0.4,0.0,0.1,0.1,0.0
190,6,65,72,2,2,1,0.0,0.1,0.0,0.1,0.1,0.0
191,8,65,73,12,4,2,0.0,0.3,0.4,0.1,0.2,0.0
192,8,67,80,13,1,1,0.0,0.1,0.1,0.1,0.2,0.0
193,8,67,83,1,4,2,0.1,0.1,0.1,0.1,0.1,0.3
194,2,68,74,2,2,1,0.0,0.1,0.0,0.2,0.0,0.5
195,5,68,78,20,3,1,0.0,0.1,0.0,0.1,0.3,0.0
196,9,68,86,10,4,2,0.0,0.2,0.4,0.1,0.1,0.0
197,4,68,80,14,1,1,0.0,0.1,0.0,0.1,0.1,0.3
198,5,69,83,2,3,1,0.5,0.4,0.0,0.1,0.4,0.0
199,4,69,78,6,3,1,0.4,0.2,0.0,0.1,0.4,0.0
200,2,69,77,14,2,1,0.0,0.4,0.1,0.1,0.3,0.2
